managing_agency,fms_id,year-month_reported,total_budget,spend_to_date,spend_to_date_percent,budget_variance,budget_variance_percent
42,BX048-020,202309,1008000,0,0,0,0
42,BX049-020,201910,3000000,,,,
42,BX049-020,202305,3000000,0,0,0,0
42,BX049-020,202309,3000000,0,0,0,0
42,BX050-021,202011,750000,,,,
42,BX050-021,202305,750000,0,0,0,0
42,BX050-021,202309,750000,0,0,0,0
42,BY001-021,202011,500000,,,,
42,BY001-021,202305,500000,0,0,0,0
42,BY001-021,202309,500000,0,0,0,0
42,BY001-022,202110,2000000,,,,
42,BY001-022,202305,2000000,0,0,0,0
42,BY001-022,202309,2000000,0,0,0,0
42,BY001-023,202210,1000000,,,,
42,BY001-023,202305,1000000,0,0,0,0
42,BY001-023,202309,1000000,0,0,0,0
42,BY015-007,200609,2000000,,,,
42,BY015-007,202305,5200000,5200000,1,3200000,1.6
42,BY015-007,202309,5200000,5200000,1,0,0
42,BY024-012,201201,100000,,,,
42,BY024-012,202305,100000,0,0,0,0
42,BY024-012,202309,100000,0,0,0,0
42,BY025-012,201201,100000,,,,
42,BY025-012,202305,100000,0,0,0,0
42,BY025-012,202309,100000,0,0,0,0
42,BY026-013,201210,1000000,,,,
42,BY026-013,202305,5797200,5797200,1,4797200,4.7972
42,BY026-013,202309,5797200,5797200,1,0,0
42,BY031-017,201610,500000,,,,
42,BY031-017,202305,500000,0,0,0,0
42,BY031-017,202309,500000,0,0,0,0
42,BY032-018,201804,2500000,,,,
42,BY032-018,202305,2500000,0,0,0,0
42,BY032-018,202309,2500000,0,0,0,0
42,BY034-019,201902,724000,,,,
42,BY034-019,202305,724000,0,0,0,0
42,BY034-019,202309,724000,0,0,0,0
42,BY036-020,201910,2500000,,,,
42,BY036-020,202305,2500000,0,0,0,0
42,BY036-020,202309,2500000,0,0,0,0
42,CA001-021,202011,150000,,,,
42,CA001-021,202305,150000,0,0,0,0
42,CA001-021,202309,150000,0,0,0,0
42,CA001-023,202205,200000,,,,
42,CA001-023,202305,200000,0,0,0,0
42,CA001-023,202309,200000,0,0,0,0
42,CA002-021,202011,100000,,,,
42,CA002-021,202305,100000,0,0,0,0
42,CA002-021,202309,100000,0,0,0,0
42,CA002-022,202110,1500000,,,,
42,CA002-022,202305,1500000,0,0,0,0
42,CA002-022,202309,1500000,0,0,0,0
42,CA002-023,202210,10000000,,,,
42,CA002-023,202305,10000000,0,0,0,0
42,CA002-023,202309,7262000,0,0,-2738000,-0.2738
42,CA002CA01,202302,600000,,,,
42,CA002CA01,202305,600000,0,0,0,0
42,CA002CA01,202309,599552,0,0,-448,-0.0007
42,CA003-021,202011,7000000,,,,
42,CA003-021,202305,6851000,0,0,-149000,-0.0212
42,CA003-021,202309,6851000,0,0,0,0
42,CA003-023,202210,350000,,,,
42,CA003-023,202305,350000,0,0,0,0
42,CA003-023,202309,350000,0,0,0,0
42,CA004-021,202011,5000000,,,,
42,CA004-021,202305,5000000,0,0,0,0
42,CA004-021,202309,4999500,0,0,-500,-0.0001
42,CA004-023,202210,1500000,,,,
42,CA004-023,202305,1500000,0,0,0,0
42,CA004-023,202309,1500000,0,0,0,0
42,CA005-021,202011,100000,,,,
42,CA005-021,202305,100000,0,0,0,0
42,CA005-021,202309,100000,0,0,0,0
42,CA005-022,202104,150000,,,,
42,CA005-022,202305,900000,0,0,750000,5
42,CA005-022,202309,900000,0,0,0,0
42,CA006-022,202110,1500000,,,,
42,CA006-022,202305,1500000,0,0,0,0
42,CA006-022,202309,1500000,0,0,0,0
42,CA007-022,202110,2600000,,,,
42,CA007-022,202305,2600000,0,0,0,0
42,CA007-022,202309,2600000,0,0,0,0
42,CA008QB01,202302,800000,,,,
42,CA008QB01,202305,800000,0,0,0,0
42,CA008QB01,202309,800320,0,0,320,0.0004
42,CA013-008,200909,3998000,,,,
42,CA013-008,202305,2527090,1210090,0.4788,-1470910,-0.3679
42,CA013-008,202309,2527090,1210090,0.4788,0,0
42,CA019HS01,202305,325189,246409,0.7577,,
42,CA019HS01,202309,325189,246409,0.7577,0,0
42,CA022BX01,202204,40100000,,,,
42,CA022BX01,202305,40100000,0,0,0,0
42,CA022BX01,202309,40100193,0,0,193,0
42,CA022KG01,202205,10000000,,,,
42,CA022KG01,202305,10000000,0,0,0,0
42,CA022KG01,202309,10000000,0,0,0,0
42,CA022KG02,202205,1269000,,,,
42,CA022KG02,202305,1269000,0,0,0,0
42,CA022KG02,202309,2243160,0,0,974160,0.7676
42,CA022QB01,202205,1500000,,,,
42,CA022QB01,202305,1500000,0,0,0,0
42,CA022QB01,202309,1499615,0,0,-385,-0.0002
42,CA028-012,202305,500374,462374,0.924,,
42,CA028-012,202309,462374,462374,1,-38000,-0.0759
42,CA032-013,201301,2000000,,,,
42,CA032-013,202305,1999838,1398164,0.6991,-162,0
42,CA032-013,202309,1611164,1398164,0.8677,-388674,-0.1943
42,CA034HS13,201704,6950000,,,,
42,CA034HS13,202305,6950000,590848,0.085,0,0
42,CA034HS13,202309,6950000,590848,0.085,0,0
42,CA034KG13,201804,127000,,,,
42,CA034KG13,202305,127360,27823,0.2184,360,0.0028
42,CA034KG13,202309,126360,27823,0.2201,-1000,-0.0078
42,CA034QB13,201704,1000000,,,,
42,CA034QB13,202305,1566250,0,0,566250,0.5662
42,CA034QB13,202309,1540263,0,0,-25987,-0.0165
42,CA036-014,201405,2003000,,,,
42,CA036-014,202305,2003000,0,0,0,0
42,CA036-014,202309,2003000,0,0,0,0
42,CA049-019,201809,3040000,,,,
42,CA049-019,202305,3040064,2723981,0.896,64,0
42,CA049-019,202309,3040064,2723981,0.896,0,0
42,CA049-022,202110,2500000,,,,
42,CA049-022,202305,2500000,0,0,0,0
42,CA049-022,202309,2500000,0,0,0,0
42,CA052-017,201610,500000,,,,
42,CA052-017,202305,500000,0,0,0,0
42,CA052-017,202309,500000,0,0,0,0
42,CA054BX18,202305,6973000,3628475,0.5203,,
42,CA054BX18,202309,6973000,3628475,0.5203,0,0
42,CA055QB17,201902,4650000,,,,
42,CA055QB17,202305,4650059,2782132,0.5983,59,0
42,CA055QB17,202309,4650059,2782132,0.5983,0,0
42,CA056-020,201910,250000,,,,
42,CA056-020,202305,250000,0,0,0,0
42,CA056-020,202309,250000,0,0,0,0
42,CA091BX23,202302,2790000,,,,
42,CA091BX23,202305,2790000,0,0,0,0
42,CA091BX23,202309,2790247,0,0,247,0
42,CA091HS96,201809,1500000,,,,
42,CA091HS96,202305,1500000,817780,0.5451,0,0
42,CA091HS96,202309,1500000,817780,0.5451,0,0
42,CA091KG02,202305,2847000,,,,
42,CA091KG02,202305,705000,0,0,-2142000,-0.7523
42,CA091KG02,202309,2847000,0,0,2142000,3.0382
42,CA091KG03,202305,475000,,,,
42,CA091KG03,202305,475000,0,0,0,0
42,CA091KG03,202309,475675,0,0,675,0.0014
42,CA091LG19,201809,2250000,,,,
42,CA091LG19,202305,2250000,0,0,0,0
42,CA091LG19,202309,0,0,0,-2250000,-1
